,strategy,commission,profit_factor,loss_factor,total_return,return_rate,sharpe,drawdown,volatility,predict_signal,limit_price,predict_take_profit,predict_stop_loss
293,BBANDS,0.0,7.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
294,BBANDS,0.0,7.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
295,BBANDS,0.0,7.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
296,BBANDS,0.0,7.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
297,BBANDS,0.0,7.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
298,BBANDS,0.0,7.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
299,BBANDS,0.0,7.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
300,BBANDS,0.0,8.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
301,BBANDS,0.0,8.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
302,BBANDS,0.0,8.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
303,BBANDS,0.0,8.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
304,BBANDS,0.0,8.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
305,BBANDS,0.0,8.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
306,BBANDS,0.0,8.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
307,BBANDS,0.0,8.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
308,BBANDS,0.0,8.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
309,BBANDS,0.0,8.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
310,BBANDS,0.0,8.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
311,BBANDS,0.0,8.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
312,BBANDS,0.0,8.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
313,BBANDS,0.0,8.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
314,BBANDS,0.0,8.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
315,BBANDS,0.0,8.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
316,BBANDS,0.0,8.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
